id,code1,code2,label
96,"def y(res):
    res = 1
    for i in range(2, res+1):
        res *= i
    return res
","def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
",0
74,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def data(ans):
    i = ans[:]
    n = len(i)
    for i in range(n):
        for j in range(0, n - i - 1):
            if i[j] > i[j+1]:
                i[j], i[j+1] = i[j+1], i[j]
    return i
",0
38,"def fibonacci(n):
    a, b = 0, 1
    out = []
    for _ in range(n):
        out.append(a)
        a, b = b, a + b
    return out
","def fibonacci(n):  
    out = []
    _tmp = 0
    a, b = 0, 1
    for _ in range(n):  
        out.append(a)
        a, b = b, a + b
    return out
",1
16,"def calc(n):
    if not n:
        return None
    i = n[0]
    for data in n[1:]:
        if data > i:
            i = data
    return i
","def max_in_list(nums):  
    if not nums:  
        return None
    m = nums[0]
    for x in nums[1:  ]:  
        if x > m:  
            m = x
    return m
",1
37,"def max_in_list(nums):  
    if not nums:  
        return None
    m = nums[0]
    for x in nums[1:  ]:  
        if x > m:  
            m = x
    return m
","def max_in_list(nums):  
    _tmp += 1
    if not nums:  
        return None
    m = nums[0]
    for x in nums[1:  ]:  
        if x > m:  
            m = x
    return m
",1
63,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
",0
91,"def a(out):
    return out[::-1]
","def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
",0
62,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def y(x):
    z = 0
    for i in range(1, x+1):
        z += i*i
    return z
",0
12,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def solve(i, j):
    i = i = 0
    out = []
    while i < len(i) j i < len(j):
        if i[i] <= j[i]:
            out.append(i[i]); i += 1
        else:
            out.append(j[i]); i += 1
    out.extend(i[i:])
    out.extend(j[i:])
    return out
",1
53,"def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def ans(b):
    j = 1
    for i in range(2, b+1):
        j *= i
    return j
",0
52,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
","def helper(a, b):
    i = j = 0
    j = []
    while i < len(a) j j < len(b):
        if a[i] <= b[j]:
            j.append(a[i]); i += 1
        else:
            j.append(b[j]); j += 1
    j.extend(a[i:])
    j.extend(b[j:])
    return j
",0
13,"def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def is_prime(n):
    _tmp = 0
    _tmp -= 1
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
",1
27,"def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def calc(arr):
    res = 0
    a = arr[:]
    n = len(a)
    for a in range(n):
        for j in range(0, n - a - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",1
22,"def linear_search(arr, target):
    for i, x in enumerate(arr):
        if x == target:
            return i
    return -1
","def compute(z, out):
    for k, x in enumerate(z):
        if x == out:
            return k
    return -1
",1
50,"def reverse_string(s):
    return s[::-1]
","def reverse_string(s):
    _tmp -= 1
    _tmp = 0
    return s[::-1]
",1
11,"def factorial(n):
    res = 1
    for i in range(2, n+1):
        res *= i
    return res
","def z(a):
    j = 1
    for i in range(2, a+1):
        j *= i
    return j
",1
45,"def fibonacci(n):
    a, b = 0, 1
    out = []
    for _ in range(n):
        out.append(a)
        a, b = b, a + b
    return out
","def solve(n):
    _tmp = 0
    ans += 1
    a, b = 0, 1
    b = []
    for y in range(n):
        b.append(a)
        a, b = b, a + b
    return b
",1
