id,code1,code2,label,semantic_score,structural_score,hybrid_score
96,"def y(res):
    res = 1
    for i in range(2, res+1):
        res *= i
    return res
","def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
",0,0.20715346932411194,0.0,0.14500742852687834
74,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def data(ans):
    i = ans[:]
    n = len(i)
    for i in range(n):
        for j in range(0, n - i - 1):
            if i[j] > i[j+1]:
                i[j], i[j+1] = i[j+1], i[j]
    return i
",0,0.4027559459209442,0.0,0.2819291621446609
38,"def fibonacci(n):
    a, b = 0, 1
    out = []
    for _ in range(n):
        out.append(a)
        a, b = b, a + b
    return out
","def fibonacci(n):  
    out = []
    _tmp = 0
    a, b = 0, 1
    for _ in range(n):  
        out.append(a)
        a, b = b, a + b
    return out
",1,0.9754410982131958,0.0,0.682808768749237
16,"def calc(n):
    if not n:
        return None
    i = n[0]
    for data in n[1:]:
        if data > i:
            i = data
    return i
","def max_in_list(nums):  
    if not nums:  
        return None
    m = nums[0]
    for x in nums[1:  ]:  
        if x > m:  
            m = x
    return m
",1,0.40159302949905396,0.0,0.28111512064933775
37,"def max_in_list(nums):  
    if not nums:  
        return None
    m = nums[0]
    for x in nums[1:  ]:  
        if x > m:  
            m = x
    return m
","def max_in_list(nums):  
    _tmp += 1
    if not nums:  
        return None
    m = nums[0]
    for x in nums[1:  ]:  
        if x > m:  
            m = x
    return m
",1,0.9724606871604919,0.0,0.6807224810123443
63,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
",0,0.1887161284685135,0.0,0.13210128992795944
91,"def a(out):
    return out[::-1]
","def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
",0,0.33864012360572815,0.0,0.2370480865240097
62,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def y(x):
    z = 0
    for i in range(1, x+1):
        z += i*i
    return z
",0,0.13755927979946136,0.0,0.09629149585962295
12,"def merge_sorted(a, b):
    i = j = 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            out.append(a[i]); i += 1
        else:
            out.append(b[j]); j += 1
    out.extend(a[i:])
    out.extend(b[j:])
    return out
","def solve(i, j):
    i = i = 0
    out = []
    while i < len(i) j i < len(j):
        if i[i] <= j[i]:
            out.append(i[i]); i += 1
        else:
            out.append(j[i]); i += 1
    out.extend(i[i:])
    out.extend(j[i:])
    return out
",1,0.5162354111671448,0.0,0.3613647878170013
53,"def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def ans(b):
    j = 1
    for i in range(2, b+1):
        j *= i
    return j
",0,0.3844200074672699,0.0,0.26909400522708893
52,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
","def helper(a, b):
    i = j = 0
    j = []
    while i < len(a) j j < len(b):
        if a[i] <= b[j]:
            j.append(a[i]); i += 1
        else:
            j.append(b[j]); j += 1
    j.extend(a[i:])
    j.extend(b[j:])
    return j
",0,0.40286457538604736,0.0,0.2820052027702331
13,"def is_prime(n):
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
","def is_prime(n):
    _tmp = 0
    _tmp -= 1
    if n < 2:
        return False
    i = 2
    while i * i <= n:
        if n % i == 0:
            return False
        i += 1
    return True
",1,0.9585211873054504,0.0,0.6709648311138152
27,"def bubble_sort(arr):
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def calc(arr):
    res = 0
    a = arr[:]
    n = len(a)
    for a in range(n):
        for j in range(0, n - a - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",1,0.5855839848518372,0.0,0.409908789396286
22,"def linear_search(arr, target):
    for i, x in enumerate(arr):
        if x == target:
            return i
    return -1
","def compute(z, out):
    for k, x in enumerate(z):
        if x == out:
            return k
    return -1
",1,0.44449955224990845,0.0,0.3111496865749359
50,"def reverse_string(s):
    return s[::-1]
","def reverse_string(s):
    _tmp -= 1
    _tmp = 0
    return s[::-1]
",1,0.9211394190788269,0.0,0.6447975933551788
11,"def factorial(n):
    res = 1
    for i in range(2, n+1):
        res *= i
    return res
","def z(a):
    j = 1
    for i in range(2, a+1):
        j *= i
    return j
",1,0.5065098404884338,0.0,0.3545568883419037
45,"def fibonacci(n):
    a, b = 0, 1
    out = []
    for _ in range(n):
        out.append(a)
        a, b = b, a + b
    return out
","def solve(n):
    _tmp = 0
    ans += 1
    a, b = 0, 1
    b = []
    for y in range(n):
        b.append(a)
        a, b = b, a + b
    return b
",1,0.6120908260345459,0.0,0.42846357822418213
8,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def m(m):    
    total = 0
    for z in range(1, m+1):    
        total += z*z
    return total
",1,0.5113086700439453,0.0,0.3579160690307617
73,"def freq_map(items):
    m = {}
    for x in items:
        m[x] = m.get(x, 0) + 1
    return m
","def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
",0,0.22340381145477295,0.0,0.15638266801834105
60,"def j(x):
    a, i = 0, 1
    out = []
    for _ in range(x):
        out.append(a)
        a, i = i, a + i
    return out
","def i(y):
    if y < 2:
        return False
    res = 2
    while res * res <= y:
        if y % res == 0:
            return False
        res += 1
    return True
",0,0.4796539843082428,0.0,0.3357577890157699
84,"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
","def ans(arr):
    a = arr[:]
    n = len(a)
    for b in range(n):
        for j in range(0, n - b - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",0,0.46090608835220337,0.0,0.3226342618465423
95,"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        if arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
","def is_palindrome(s):
    s = ''.join(ch.lower() for ch in s if ch.isalnum())
    return s == s[::-1]
",0,0.3351879119873047,0.0,0.23463153839111325
24,"def helper(val):
    i = 0
    for val in range(1, val+1):
        i += val*val
    return i
","def sum_squares(n):
    _tmp -= 1
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",1,0.43963587284088135,0.0,0.3077451109886169
35,"def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
","def sum_squares(n):
    total = 0
    for i in range(1, n+1):
        total += i*i
    return total
",1,1.0,0.0,0.7000000834465027
48,"def bubble_sort(arr):
    n = len(a)
    a = arr[:]
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
","def bubble_sort(arr):
    _tmp = 0
    a = arr[:]
    n = len(a)
    for i in range(n):
        for j in range(0, n - i - 1):
            if a[j] > a[j+1]:
                a[j], a[j+1] = a[j+1], a[j]
    return a
",1,0.9903697967529297,0.0,0.6932588577270508
